youtube_id,video_id,title,bias
UC-qbk0cdNP1-uU88-a_IAjA,B3dV_Kk-ysY,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,NeizGEQBspE,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,F5jxmuLsxRM,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,fSaPhGFeGwg,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,bMew7tfTD4I,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,PHQ4dWyX_zY,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,aP1mc1MKcnQ,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,CE3mTRv5zb8,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,BJO1cbuO-00,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,cKRXvEc2Ff0,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,T0AfgyT1b70,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,lRQrqoj5pgQ,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,thV-q84rB40,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,bciiKcl4-oQ,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,EiNOdVMent8,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,UQ2SVeG1fZ0,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,xtHmSWvUR1I,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,CIpVf80i0bY,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,yxbnCkTx45w,WhoWhatWhy,left
